TIPO;NOMBRE;SHAPE_AREA;SHAPE_LEN
Parque Metropolitano;SIMON BOLIVAR (SECTOR FUNDACION NI?ÊO DIFERENTE);7461,66196236000;378,21960046600
Parque Metropolitano;SIMON BOLIVAR (SECTOR NOVIOS II);175069,72565900000;2616,40981383000
Parque Metropolitano;SIMON BOLIVAR (SECTOR I.D.R.D.);168817,00619600000;2246,47985672000
Parque Zonal;CLARELANDIA;27313,57274570000;1291,75921221000
Parque Metropolitano;EL RECREO;179218,93041200000;6046,18692545000
Parque Zonal;BELLAVISTA-DINDALITO;24074,16486320000;762,20661955200
Parque Zonal;CANAL BOYACA MODELIA;63798,95267360000;5173,37662395000
Parque Zonal;LA GAITANA;44697,91504060000;1441,28813130000
Parque Zonal;CANAL DEL RIO NEGRO;128121,11798100000;11210,01573320000
Parque Zonal;FONTANAR DEL RIO;185328,48450200000;2399,69491189000
Parque Metropolitano;TIMIZA;299870,29200100000;2851,70216616000
Parque Zonal;NUEVO MUZU;73336,53112740000;3957,73561780000
Parque Zonal;EL CARMELO;33979,50001310000;1130,32166743000
Parque Zonal;EL VIRREY SUR;16679,20898950000;1513,37946960000
Parque Zonal;FAMACO;68998,27468060000;2140,82967568000
Parque Zonal;SIERRA MORENA;27169,90276470000;786,24837092100
Parque Zonal;CANDELARIA LA NUEVA;4632,49397979000;309,00790411400
Parque Zonal;MEISSEN;8980,35842817000;404,52604241500
Parque Zonal;LAS BRISAS ( ZANJON DE LA MURALLA );33468,63519580000;3236,07825552000
Parque Zonal;PATIO BONITO;6571,40267642000;339,18614579400
Parque Zonal;PARQUE ZONAL CORDOBA;28177,75564750000;865,18896909600
Parque Zonal;LA JOYA;23950,13417780000;619,98109062100
Parque Zonal;EL JAZMIN;33813,86011760000;914,98261880300
Parque Zonal;CIUDAD MONTES;69748,10300480000;1347,42282712000
Parque Zonal;LAS CRUCES;12064,79937110000;444,88096053500
Parque Metropolitano;INDEPENDENCIA;56752,21361870000;1194,30586381000
Parque Zonal;QUIROGA;6815,32902429000;430,91602599300
Parque Zonal;PARQUE ESTADIO OLAYA HERRERA;52565,92930830000;1320,73815581000
Parque Zonal;LA CONCORDIA;5382,39844739000;335,90855918900
Parque Zonal;VERAGUAS;24188,04505200000;682,27698421600
Parque Zonal;NICOLAS DE FEDERMAN 3;22642,48417380000;1092,62347582000
Parque Metropolitano;SIMON BOLIVAR ( SECTOR VIRGILIO BARCO);139382,42667100000;1662,35754342000
Parque Zonal;SAUZALITO;25748,17875060000;707,19775522000
Parque Zonal;SUCRE O HIPPIES;7010,69614352000;352,78876600200
Parque Zonal;SERVITA;23084,03609980000;660,83783348800
Parque Zonal;ALTA BLANCA;11419,94961470000;471,07882923000
