,Total Homicidios 2020,Total Lesiones Personales 2020,Total Hurto Personas 2020,Total Hurto Residencias 2020,Total Hurto Automotores 2020,Total Hurto Bicicletas 2020,Total Hurto Comercio 2020,Total Hurto Celulares 2020,Total Hurto Motocicletas 2020,Total Hurto Entidades Financieras 2020,Total Delitos Sexuales 2020,lat,lon
85,1,0,16,1,1,2,6,7,1,0,3,4.793048675273377,-74.07886533397357
86,0,5,106,9,2,6,51,57,1,0,6,4.744020129160692,-74.06951640017151
87,0,6,133,2,1,10,30,71,0,0,3,4.643262608121391,-74.10179387301923
88,2,28,298,36,7,37,52,167,11,0,13,4.750272569010653,-74.08773972590878
89,0,11,185,10,11,18,15,91,6,0,3,4.725173436898362,-74.11588357540407
90,2,15,183,29,2,13,21,89,2,0,15,4.717498091263201,-74.07363634090353
91,0,0,0,0,0,0,0,0,0,0,1,3.948467851580091,-74.3224178667819
92,0,11,243,9,0,7,29,128,3,0,2,4.655403571312023,-74.11169511285456
93,0,0,6,0,0,0,2,3,0,0,0,4.785227897819314,-74.0491513742313
94,0,3,42,3,2,4,3,21,3,0,3,4.6572699927751655,-74.15316178992558
95,1,10,44,3,6,5,0,19,3,0,2,4.637108307251142,-74.17835380964941
96,0,10,318,30,3,19,50,175,2,0,4,4.627960490623773,-74.07392428155889
97,0,19,133,21,4,6,12,61,1,0,3,4.640909638012184,-74.05657108961378
98,4,14,488,36,2,21,62,280,3,0,4,4.696057835600039,-74.04577527543813
99,0,4,170,10,7,14,13,85,3,0,1,4.666485385138428,-74.12241670865201
100,9,36,38,7,2,0,21,25,4,0,14,4.538446637813063,-74.1418414695772
101,0,10,248,10,4,22,55,133,4,1,4,4.653265861527107,-74.12606848208196
102,0,0,0,1,0,0,0,0,0,0,4,4.499457975368561,-74.13276559831544
103,1,43,90,20,10,18,9,32,14,0,6,4.6198836954468305,-74.17497362409236
104,0,0,1,0,0,0,1,1,0,0,0,4.537986446260388,-74.13001138086592
105,1,52,263,8,7,10,53,117,1,1,59,4.596605071250551,-74.07207079288482
106,0,4,185,9,1,10,17,103,0,0,0,4.698250774302326,-74.06140753610758
107,0,3,7,1,0,2,2,3,0,0,0,4.667742397122011,-74.01946493714627
108,1,29,132,21,3,10,15,66,6,0,6,4.583175022750142,-74.15279143649109
109,0,0,0,0,0,0,0,0,0,0,3,4.139735434723878,-74.18035409110766
110,0,3,159,9,2,7,2,84,1,0,2,4.679207816209041,-74.12716204044753
111,0,37,212,11,3,30,31,124,1,0,0,4.682615141040684,-74.0674777633937
112,0,8,147,9,1,10,27,78,0,0,3,4.630724807071186,-74.08954087446797
113,6,49,106,19,8,2,7,62,4,0,14,4.557628887706344,-74.11572575187665
114,3,47,256,19,16,23,43,145,13,0,10,4.606947525477057,-74.14149445287887
115,1,30,69,6,0,3,14,28,3,1,14,4.570019808225733,-74.11571542889284
116,0,1,75,5,2,5,22,42,0,0,2,4.710419208823928,-74.04342707682352
